machine_code,sim_elapsed_s,profile,scenario,phase,vibration_mm_s,motor_power,temperature,humidity,current,charge,state,source
ARO-01,34,B_quadratic,surveillance,pause,1.583,0.000,21.8,79.1,0.000,90.0,pause,labview_demo_csv
ARO-01,35,B_quadratic,surveillance,pause,1.598,0.001,21.7,79.3,0.002,90.0,pause,labview_demo_csv
ARO-01,36,B_quadratic,surveillance,pause,1.602,0.000,21.6,79.7,0.000,90.0,pause,labview_demo_csv
ARO-01,37,B_quadratic,surveillance,pause,1.605,0.002,21.5,79.9,0.004,90.0,pause,labview_demo_csv
ARO-01,38,B_quadratic,surveillance,pause,1.594,0.000,21.4,79.8,0.000,90.0,pause,labview_demo_csv
ARO-01,39,B_quadratic,surveillance,pause,1.616,0.012,21.4,79.8,0.022,90.0,pause,labview_demo_csv
ARO-01,40,B_quadratic,surveillance,pause,1.668,0.007,21.5,79.9,0.013,90.0,pause,labview_demo_csv
ARO-01,41,B_quadratic,surveillance,pause,1.690,0.007,21.5,79.8,0.013,90.0,pause,labview_demo_csv
ARO-01,42,B_quadratic,surveillance,pause,1.613,0.000,21.5,79.9,0.000,90.0,pause,labview_demo_csv
ARO-01,43,B_quadratic,surveillance,pause,1.633,0.000,21.5,79.9,0.000,90.0,pause,labview_demo_csv
ARO-01,44,B_quadratic,surveillance,ascent,1.717,0.856,21.6,80.0,1.545,90.0,ascent,labview_demo_csv
ARO-01,45,B_quadratic,surveillance,ascent,1.658,0.855,21.6,79.8,1.542,90.0,ascent,labview_demo_csv
ARO-01,46,B_quadratic,surveillance,ascent,1.687,0.851,21.7,79.5,1.535,90.0,ascent,labview_demo_csv
ARO-01,47,B_quadratic,surveillance,ascent,1.681,0.840,21.9,79.4,1.515,90.0,ascent,labview_demo_csv
ARO-01,48,B_quadratic,surveillance,ascent,1.697,0.866,21.9,79.6,1.563,90.0,ascent,labview_demo_csv
ARO-01,49,B_quadratic,surveillance,ascent,1.691,0.853,22.0,79.4,1.539,90.0,ascent,labview_demo_csv
ARO-01,50,B_quadratic,surveillance,ascent,1.667,0.853,22.1,79.4,1.539,90.0,ascent,labview_demo_csv
ARO-01,51,B_quadratic,surveillance,ascent,1.685,0.855,22.2,79.4,1.543,90.0,ascent,labview_demo_csv
ARO-01,52,B_quadratic,surveillance,ascent,1.689,0.838,22.2,79.0,1.511,90.0,ascent,labview_demo_csv
ARO-01,53,B_quadratic,surveillance,ascent,1.677,0.851,22.1,79.2,1.535,90.0,ascent,labview_demo_csv
ARO-01,54,B_quadratic,surveillance,ascent,1.674,0.860,22.2,79.1,1.552,90.0,ascent,labview_demo_csv
ARO-01,55,B_quadratic,surveillance,ascent,1.670,0.858,22.2,78.9,1.549,90.0,ascent,labview_demo_csv
ARO-01,56,B_quadratic,surveillance,descent,1.653,0.347,22.2,79.2,0.626,90.0,descent,labview_demo_csv
ARO-01,57,B_quadratic,surveillance,descent,1.706,0.341,22.3,79.5,0.615,90.0,descent,labview_demo_csv
ARO-01,58,B_quadratic,surveillance,descent,1.697,0.338,22.2,79.6,0.610,90.0,descent,labview_demo_csv
ARO-01,59,B_quadratic,surveillance,descent,1.631,0.352,22.2,79.8,0.636,90.0,descent,labview_demo_csv
ARO-01,60,B_quadratic,surveillance,descent,1.630,0.346,22.2,79.3,0.624,90.0,descent,labview_demo_csv
ARO-01,61,B_quadratic,surveillance,descent,1.612,0.349,22.2,79.6,0.630,90.0,descent,labview_demo_csv
ARO-01,62,B_quadratic,surveillance,descent,1.632,0.348,22.3,79.5,0.627,90.0,descent,labview_demo_csv
ARO-01,63,B_quadratic,surveillance,descent,1.672,0.345,22.3,79.6,0.622,90.0,descent,labview_demo_csv
ARO-01,64,B_quadratic,surveillance,descent,1.619,0.360,22.3,79.4,0.650,90.0,descent,labview_demo_csv
ARO-01,65,B_quadratic,surveillance,descent,1.593,0.357,22.2,79.2,0.645,90.0,descent,labview_demo_csv
ARO-01,66,B_quadratic,surveillance,descent,1.614,0.347,22.2,78.9,0.625,90.0,descent,labview_demo_csv
ARO-01,67,B_quadratic,surveillance,descent,1.561,0.360,22.2,78.8,0.650,90.0,descent,labview_demo_csv
ARO-01,68,B_quadratic,surveillance,pause,1.558,0.004,22.1,79.0,0.007,90.0,pause,labview_demo_csv
ARO-01,69,B_quadratic,surveillance,pause,1.581,0.003,22.1,79.2,0.006,90.0,pause,labview_demo_csv
ARO-01,70,B_quadratic,surveillance,pause,1.577,0.000,22.0,79.5,0.000,90.0,pause,labview_demo_csv
ARO-01,71,B_quadratic,surveillance,pause,1.594,0.000,22.1,79.4,0.000,90.0,pause,labview_demo_csv
ARO-01,72,B_quadratic,surveillance,pause,1.562,0.007,22.1,79.8,0.012,90.0,pause,labview_demo_csv
ARO-01,73,B_quadratic,surveillance,pause,1.587,0.000,22.1,79.7,0.000,90.0,pause,labview_demo_csv
ARO-01,74,B_quadratic,surveillance,pause,1.548,0.002,22.1,79.9,0.003,90.0,pause,labview_demo_csv
ARO-01,75,B_quadratic,surveillance,pause,1.560,0.000,22.0,80.0,0.000,90.0,pause,labview_demo_csv
ARO-01,76,B_quadratic,surveillance,pause,1.586,0.004,21.9,80.0,0.007,90.0,pause,labview_demo_csv
ARO-01,77,B_quadratic,surveillance,pause,1.606,0.002,21.9,80.0,0.003,90.0,pause,labview_demo_csv
ARO-01,78,B_quadratic,surveillance,pause,1.604,0.013,21.8,80.0,0.024,90.0,pause,labview_demo_csv
ARO-01,79,B_quadratic,surveillance,pause,1.591,0.001,21.9,79.8,0.003,90.0,pause,labview_demo_csv
ARO-01,80,B_quadratic,surveillance,pause,1.607,0.000,21.8,80.0,0.000,90.0,pause,labview_demo_csv
ARO-01,81,B_quadratic,surveillance,pause,1.578,0.011,21.7,79.9,0.020,90.0,pause,labview_demo_csv
ARO-01,82,B_quadratic,surveillance,pause,1.565,0.005,21.7,79.9,0.009,90.0,pause,labview_demo_csv
ARO-01,83,B_quadratic,surveillance,pause,1.625,0.000,21.7,79.6,0.000,90.0,pause,labview_demo_csv
ARO-01,84,B_quadratic,surveillance,pause,1.585,0.000,21.8,79.4,0.000,90.0,pause,labview_demo_csv
ARO-01,85,B_quadratic,surveillance,pause,1.628,0.000,21.7,79.3,0.000,90.0,pause,labview_demo_csv
ARO-01,86,B_quadratic,surveillance,pause,1.661,0.007,21.8,79.3,0.012,90.0,pause,labview_demo_csv
ARO-01,87,B_quadratic,surveillance,pause,1.678,0.000,21.7,79.4,0.000,90.0,pause,labview_demo_csv
ARO-01,88,B_quadratic,surveillance,ascent,1.650,0.856,21.9,79.3,1.544,90.0,ascent,labview_demo_csv
ARO-01,89,B_quadratic,surveillance,ascent,1.647,0.855,22.0,79.2,1.543,90.0,ascent,labview_demo_csv
ARO-01,90,B_quadratic,surveillance,ascent,1.672,0.856,22.3,79.4,1.545,90.0,ascent,labview_demo_csv
ARO-01,91,B_quadratic,surveillance,ascent,1.685,0.853,22.3,79.7,1.539,90.0,ascent,labview_demo_csv
ARO-01,92,B_quadratic,surveillance,ascent,1.675,0.847,22.4,79.6,1.528,90.0,ascent,labview_demo_csv
ARO-01,93,B_quadratic,surveillance,ascent,1.682,0.859,22.5,79.7,1.550,90.0,ascent,labview_demo_csv
ARO-01,94,B_quadratic,surveillance,ascent,1.653,0.836,22.5,79.4,1.508,90.0,ascent,labview_demo_csv
ARO-01,95,B_quadratic,surveillance,ascent,1.714,0.855,22.5,79.1,1.542,90.0,ascent,labview_demo_csv
ARO-01,96,B_quadratic,surveillance,ascent,1.670,0.837,22.4,79.4,1.509,90.0,ascent,labview_demo_csv
ARO-01,97,B_quadratic,surveillance,ascent,1.726,0.854,22.5,79.3,1.542,90.0,ascent,labview_demo_csv
ARO-01,98,B_quadratic,surveillance,ascent,1.671,0.849,22.5,78.9,1.532,90.0,ascent,labview_demo_csv
ARO-01,99,B_quadratic,surveillance,ascent,1.657,0.854,22.7,79.0,1.541,90.0,ascent,labview_demo_csv
ARO-01,100,B_quadratic,surveillance,descent,1.675,0.348,22.7,79.0,0.629,90.0,descent,labview_demo_csv
ARO-01,101,B_quadratic,surveillance,descent,1.692,0.342,22.6,79.1,0.618,90.0,descent,labview_demo_csv
ARO-01,102,B_quadratic,surveillance,descent,1.654,0.357,22.6,79.2,0.643,90.0,descent,labview_demo_csv
ARO-01,103,B_quadratic,surveillance,descent,1.659,0.339,22.5,79.0,0.612,90.0,descent,labview_demo_csv
ARO-01,104,B_quadratic,surveillance,descent,1.629,0.351,22.6,78.8,0.634,90.0,descent,labview_demo_csv
ARO-01,105,B_quadratic,surveillance,descent,1.665,0.348,22.6,78.8,0.627,90.0,descent,labview_demo_csv
ARO-01,106,B_quadratic,surveillance,descent,1.652,0.338,22.5,78.7,0.610,90.0,descent,labview_demo_csv
ARO-01,107,B_quadratic,surveillance,descent,1.655,0.345,22.5,79.0,0.623,90.0,descent,labview_demo_csv
ARO-01,108,B_quadratic,surveillance,descent,1.637,0.346,22.5,79.3,0.625,90.0,descent,labview_demo_csv
ARO-01,109,B_quadratic,surveillance,descent,1.593,0.357,22.5,79.3,0.644,90.0,descent,labview_demo_csv
ARO-01,110,B_quadratic,surveillance,descent,1.631,0.350,22.4,79.2,0.632,90.0,descent,labview_demo_csv
ARO-01,111,B_quadratic,surveillance,descent,1.605,0.338,22.5,79.3,0.610,90.0,descent,labview_demo_csv
ARO-01,112,B_quadratic,surveillance,pause,1.616,0.000,22.4,79.6,0.000,90.0,pause,labview_demo_csv
ARO-01,113,B_quadratic,surveillance,pause,1.609,0.000,22.3,80.0,0.000,90.0,pause,labview_demo_csv
ARO-01,114,B_quadratic,surveillance,pause,1.576,0.000,22.2,80.0,0.000,90.0,pause,labview_demo_csv
ARO-01,115,B_quadratic,surveillance,pause,1.617,0.001,22.2,80.0,0.003,90.0,pause,labview_demo_csv
ARO-01,116,B_quadratic,surveillance,pause,1.566,0.011,22.2,80.0,0.020,90.0,pause,labview_demo_csv
ARO-01,117,B_quadratic,surveillance,pause,1.607,0.000,22.2,79.7,0.000,90.0,pause,labview_demo_csv
ARO-01,118,B_quadratic,surveillance,pause,1.570,0.014,22.2,79.9,0.026,90.0,pause,labview_demo_csv
ARO-01,119,B_quadratic,surveillance,pause,1.612,0.000,22.2,79.9,0.000,90.0,pause,labview_demo_csv
ARO-01,120,B_quadratic,surveillance,pause,1.586,0.006,22.3,79.8,0.011,90.0,pause,labview_demo_csv
ARO-01,121,B_quadratic,surveillance,pause,1.572,0.000,22.3,79.9,0.000,90.0,pause,labview_demo_csv
ARO-01,122,B_quadratic,surveillance,pause,1.590,0.000,22.4,79.8,0.000,90.0,pause,labview_demo_csv
ARO-01,123,B_quadratic,surveillance,pause,1.584,0.002,22.4,79.9,0.004,90.0,pause,labview_demo_csv
ARO-01,124,B_quadratic,surveillance,pause,1.582,0.000,22.5,80.0,0.000,90.0,pause,labview_demo_csv
ARO-01,125,B_quadratic,surveillance,pause,1.603,0.003,22.5,80.0,0.005,90.0,pause,labview_demo_csv
ARO-01,126,B_quadratic,surveillance,pause,1.631,0.000,22.4,79.8,0.000,90.0,pause,labview_demo_csv
ARO-01,127,B_quadratic,surveillance,pause,1.659,0.000,22.3,80.0,0.000,90.0,pause,labview_demo_csv
ARO-01,128,B_quadratic,surveillance,pause,1.645,0.000,22.5,80.0,0.000,90.0,pause,labview_demo_csv
ARO-01,129,B_quadratic,surveillance,pause,1.664,0.010,22.4,79.9,0.019,90.0,pause,labview_demo_csv
ARO-01,130,B_quadratic,surveillance,pause,1.657,0.005,22.4,79.8,0.009,90.0,pause,labview_demo_csv
ARO-01,131,B_quadratic,surveillance,pause,1.677,0.000,22.4,79.8,0.000,90.0,pause,labview_demo_csv
ARO-01,132,B_quadratic,surveillance,ascent,1.684,0.850,22.5,79.7,1.533,90.0,ascent,labview_demo_csv
ARO-01,133,B_quadratic,surveillance,ascent,1.691,0.852,22.6,79.4,1.537,90.0,ascent,labview_demo_csv
ARO-01,134,B_quadratic,surveillance,ascent,1.662,0.853,22.7,79.4,1.539,90.0,ascent,labview_demo_csv
ARO-01,135,B_quadratic,surveillance,ascent,1.699,0.855,22.8,79.4,1.542,90.0,ascent,labview_demo_csv
ARO-01,136,B_quadratic,surveillance,ascent,1.655,0.854,22.9,79.0,1.541,90.0,ascent,labview_demo_csv
ARO-01,137,B_quadratic,surveillance,ascent,1.702,0.843,23.0,79.2,1.522,90.0,ascent,labview_demo_csv
ARO-01,138,B_quadratic,surveillance,ascent,1.725,0.850,23.0,79.2,1.533,90.0,ascent,labview_demo_csv
ARO-01,139,B_quadratic,surveillance,ascent,1.669,0.861,23.0,79.2,1.553,90.0,ascent,labview_demo_csv
ARO-01,140,B_quadratic,surveillance,ascent,1.733,0.853,23.1,79.0,1.539,90.0,ascent,labview_demo_csv
ARO-01,141,B_quadratic,surveillance,ascent,1.700,0.864,23.2,78.7,1.559,90.0,ascent,labview_demo_csv
ARO-01,142,B_quadratic,surveillance,ascent,1.676,0.852,23.2,78.7,1.537,90.0,ascent,labview_demo_csv
ARO-01,143,B_quadratic,surveillance,ascent,1.773,0.847,23.2,78.9,1.528,90.0,ascent,labview_demo_csv
ARO-01,144,B_quadratic,surveillance,descent,1.678,0.358,23.1,79.0,0.647,90.0,descent,labview_demo_csv
ARO-01,145,B_quadratic,surveillance,descent,1.687,0.354,23.0,79.1,0.638,90.0,descent,labview_demo_csv
ARO-01,146,B_quadratic,surveillance,descent,1.650,0.346,23.0,79.1,0.624,90.0,descent,labview_demo_csv
ARO-01,147,B_quadratic,surveillance,descent,1.674,0.355,23.1,79.3,0.640,90.0,descent,labview_demo_csv
ARO-01,148,B_quadratic,surveillance,descent,1.622,0.359,23.2,79.3,0.648,90.0,descent,labview_demo_csv
ARO-01,149,B_quadratic,surveillance,descent,1.650,0.348,23.1,79.3,0.627,90.0,descent,labview_demo_csv
ARO-01,150,B_quadratic,surveillance,descent,1.640,0.342,23.2,79.3,0.617,90.0,descent,labview_demo_csv
ARO-01,151,B_quadratic,surveillance,descent,1.646,0.354,23.2,79.2,0.639,90.0,descent,labview_demo_csv
ARO-01,152,B_quadratic,surveillance,descent,1.629,0.360,23.2,78.9,0.650,90.0,descent,labview_demo_csv
ARO-01,153,B_quadratic,surveillance,descent,1.618,0.350,23.2,79.0,0.631,90.0,descent,labview_demo_csv
ARO-01,154,B_quadratic,surveillance,descent,1.597,0.352,23.3,79.0,0.635,90.0,descent,labview_demo_csv
ARO-01,155,B_quadratic,surveillance,descent,1.646,0.360,23.2,79.3,0.649,90.0,descent,labview_demo_csv
ARO-01,156,B_quadratic,surveillance,pause,1.607,0.000,23.1,79.3,0.000,90.0,pause,labview_demo_csv
ARO-01,157,B_quadratic,surveillance,pause,1.600,0.003,23.0,79.2,0.005,90.0,pause,labview_demo_csv
ARO-01,158,B_quadratic,surveillance,pause,1.590,0.002,23.0,78.9,0.003,90.0,pause,labview_demo_csv
ARO-01,159,B_quadratic,surveillance,pause,1.615,0.000,22.9,79.0,0.000,90.0,pause,labview_demo_csv
ARO-01,160,B_quadratic,surveillance,pause,1.532,0.000,22.8,78.9,0.000,90.0,pause,labview_demo_csv
ARO-01,161,B_quadratic,surveillance,pause,1.557,0.005,22.8,79.0,0.010,90.0,pause,labview_demo_csv
ARO-01,162,B_quadratic,surveillance,pause,1.553,0.001,22.9,78.9,0.001,90.0,pause,labview_demo_csv
ARO-01,163,B_quadratic,surveillance,pause,1.575,0.006,22.7,79.2,0.010,90.0,pause,labview_demo_csv
ARO-01,164,B_quadratic,surveillance,pause,1.591,0.000,22.6,79.3,0.000,90.0,pause,labview_demo_csv
ARO-01,165,B_quadratic,surveillance,pause,1.631,0.000,22.6,79.1,0.000,90.0,pause,labview_demo_csv
ARO-01,166,B_quadratic,surveillance,pause,1.638,0.011,22.7,79.4,0.020,90.0,pause,labview_demo_csv
ARO-01,167,B_quadratic,surveillance,pause,1.603,0.000,22.8,79.4,0.000,90.0,pause,labview_demo_csv
ARO-01,168,B_quadratic,surveillance,pause,1.598,0.001,22.8,79.7,0.002,90.0,pause,labview_demo_csv
ARO-01,169,B_quadratic,surveillance,pause,1.605,0.003,22.8,79.5,0.005,90.0,pause,labview_demo_csv
ARO-01,170,B_quadratic,surveillance,pause,1.598,0.000,22.9,79.6,0.000,90.0,pause,labview_demo_csv
ARO-01,171,B_quadratic,surveillance,pause,1.596,0.000,22.9,79.6,0.000,90.0,pause,labview_demo_csv
ARO-01,172,B_quadratic,surveillance,pause,1.613,0.007,22.8,79.5,0.012,90.0,pause,labview_demo_csv
ARO-01,173,B_quadratic,surveillance,pause,1.677,0.001,22.8,79.6,0.002,90.0,pause,labview_demo_csv
ARO-01,174,B_quadratic,surveillance,pause,1.685,0.018,22.8,79.4,0.032,90.0,pause,labview_demo_csv
ARO-01,175,B_quadratic,surveillance,pause,1.666,0.004,22.8,79.4,0.007,90.0,pause,labview_demo_csv
ARO-01,176,B_quadratic,surveillance,ascent,1.672,1.232,22.9,79.5,2.223,180.0,ascent,labview_demo_csv
ARO-01,177,B_quadratic,surveillance,ascent,1.698,1.234,23.0,79.3,2.226,180.0,ascent,labview_demo_csv
ARO-01,178,B_quadratic,surveillance,ascent,1.709,1.238,23.1,79.4,2.234,180.0,ascent,labview_demo_csv
ARO-01,179,B_quadratic,surveillance,ascent,1.684,1.223,23.3,79.5,2.207,180.0,ascent,labview_demo_csv
ARO-01,180,B_quadratic,surveillance,ascent,1.698,1.223,23.4,79.3,2.206,180.0,ascent,labview_demo_csv
ARO-01,181,B_quadratic,surveillance,ascent,1.723,1.231,23.7,79.4,2.221,180.0,ascent,labview_demo_csv
ARO-01,182,B_quadratic,surveillance,ascent,1.693,1.240,23.8,79.2,2.237,180.0,ascent,labview_demo_csv
ARO-01,183,B_quadratic,surveillance,ascent,1.701,1.227,24.0,79.2,2.214,180.0,ascent,labview_demo_csv
ARO-01,184,B_quadratic,surveillance,ascent,1.711,1.239,24.1,79.2,2.236,180.0,ascent,labview_demo_csv
ARO-01,185,B_quadratic,surveillance,ascent,1.689,1.233,24.2,79.0,2.225,180.0,ascent,labview_demo_csv
ARO-01,186,B_quadratic,surveillance,ascent,1.695,1.249,24.2,78.4,2.253,180.0,ascent,labview_demo_csv
ARO-01,187,B_quadratic,surveillance,ascent,1.666,1.244,24.4,78.1,2.245,180.0,ascent,labview_demo_csv
ARO-01,188,B_quadratic,surveillance,descent,1.666,0.351,24.3,78.0,0.633,180.0,descent,labview_demo_csv
ARO-01,189,B_quadratic,surveillance,descent,1.696,0.352,24.2,77.8,0.635,180.0,descent,labview_demo_csv
ARO-01,190,B_quadratic,surveillance,descent,1.660,0.348,24.2,78.1,0.628,180.0,descent,labview_demo_csv
ARO-01,191,B_quadratic,surveillance,descent,1.675,0.363,24.2,78.2,0.655,180.0,descent,labview_demo_csv
ARO-01,192,B_quadratic,surveillance,descent,1.697,0.361,24.1,78.4,0.652,180.0,descent,labview_demo_csv
ARO-01,193,B_quadratic,surveillance,descent,1.690,0.354,24.1,78.4,0.639,180.0,descent,labview_demo_csv
ARO-01,194,B_quadratic,surveillance,descent,1.640,0.344,24.1,78.8,0.621,180.0,descent,labview_demo_csv
ARO-01,195,B_quadratic,surveillance,descent,1.610,0.369,24.1,79.1,0.665,180.0,descent,labview_demo_csv
ARO-01,196,B_quadratic,surveillance,descent,1.597,0.353,24.1,79.3,0.637,180.0,descent,labview_demo_csv
ARO-01,197,B_quadratic,surveillance,descent,1.651,0.352,24.0,79.1,0.635,180.0,descent,labview_demo_csv
ARO-01,198,B_quadratic,surveillance,descent,1.582,0.355,24.0,79.2,0.641,180.0,descent,labview_demo_csv
ARO-01,199,B_quadratic,surveillance,descent,1.612,0.350,23.9,79.4,0.631,180.0,descent,labview_demo_csv
ARO-01,200,B_quadratic,surveillance,pause,1.617,0.000,23.8,79.3,0.000,180.0,pause,labview_demo_csv
ARO-01,201,B_quadratic,surveillance,pause,1.564,0.000,23.6,79.0,0.000,180.0,pause,labview_demo_csv
ARO-01,202,B_quadratic,surveillance,pause,1.612,0.000,23.5,78.8,0.000,180.0,pause,labview_demo_csv
ARO-01,203,B_quadratic,surveillance,pause,1.588,0.000,23.5,78.8,0.000,180.0,pause,labview_demo_csv
ARO-01,204,B_quadratic,surveillance,pause,1.579,0.002,23.5,78.9,0.004,180.0,pause,labview_demo_csv
ARO-01,205,B_quadratic,surveillance,pause,1.605,0.001,23.4,79.0,0.002,180.0,pause,labview_demo_csv
ARO-01,206,B_quadratic,surveillance,pause,1.565,0.011,23.3,79.0,0.020,180.0,pause,labview_demo_csv
ARO-01,207,B_quadratic,surveillance,pause,1.529,0.000,23.2,78.8,0.000,180.0,pause,labview_demo_csv
ARO-01,208,B_quadratic,surveillance,pause,1.543,0.000,23.2,79.1,0.000,180.0,pause,labview_demo_csv
ARO-01,209,B_quadratic,surveillance,pause,1.609,0.002,23.2,79.3,0.003,180.0,pause,labview_demo_csv
ARO-01,210,B_quadratic,surveillance,pause,1.585,0.007,23.2,79.1,0.013,180.0,pause,labview_demo_csv
ARO-01,211,B_quadratic,surveillance,pause,1.601,0.006,23.4,79.1,0.010,180.0,pause,labview_demo_csv
ARO-01,212,B_quadratic,surveillance,pause,1.591,0.001,23.4,79.4,0.003,180.0,pause,labview_demo_csv
ARO-01,213,B_quadratic,surveillance,pause,1.606,0.002,23.3,79.8,0.004,180.0,pause,labview_demo_csv
ARO-01,214,B_quadratic,surveillance,pause,1.599,0.001,23.3,79.6,0.002,180.0,pause,labview_demo_csv
ARO-01,215,B_quadratic,surveillance,pause,1.600,0.000,23.3,79.9,0.000,180.0,pause,labview_demo_csv
ARO-01,216,B_quadratic,surveillance,pause,1.600,0.002,23.2,80.0,0.004,180.0,pause,labview_demo_csv
ARO-01,217,B_quadratic,surveillance,pause,1.638,0.009,23.2,79.9,0.017,180.0,pause,labview_demo_csv
ARO-01,218,B_quadratic,surveillance,pause,1.639,0.003,23.2,80.0,0.005,180.0,pause,labview_demo_csv
ARO-01,219,B_quadratic,surveillance,pause,1.655,0.000,23.2,80.0,0.000,180.0,pause,labview_demo_csv
ARO-01,220,B_quadratic,surveillance,ascent,1.671,0.593,23.3,80.0,1.071,30.0,ascent,labview_demo_csv
ARO-01,221,B_quadratic,surveillance,ascent,1.698,0.590,23.3,79.9,1.065,30.0,ascent,labview_demo_csv
ARO-01,222,B_quadratic,surveillance,ascent,1.652,0.588,23.5,79.7,1.060,30.0,ascent,labview_demo_csv
ARO-01,223,B_quadratic,surveillance,ascent,1.719,0.593,23.7,79.7,1.070,30.0,ascent,labview_demo_csv
ARO-01,224,B_quadratic,surveillance,ascent,1.667,0.601,23.8,79.8,1.085,30.0,ascent,labview_demo_csv
ARO-01,225,B_quadratic,surveillance,ascent,1.711,0.582,23.8,79.8,1.049,30.0,ascent,labview_demo_csv
ARO-01,226,B_quadratic,surveillance,ascent,1.720,0.604,23.8,79.6,1.090,30.0,ascent,labview_demo_csv
ARO-01,227,B_quadratic,surveillance,ascent,1.720,0.589,23.8,79.7,1.063,30.0,ascent,labview_demo_csv
ARO-01,228,B_quadratic,surveillance,ascent,1.715,0.585,23.9,79.8,1.055,30.0,ascent,labview_demo_csv
ARO-01,229,B_quadratic,surveillance,ascent,1.673,0.604,24.0,79.6,1.089,30.0,ascent,labview_demo_csv
ARO-01,230,B_quadratic,surveillance,ascent,1.676,0.603,24.0,79.3,1.087,30.0,ascent,labview_demo_csv
ARO-01,231,B_quadratic,surveillance,ascent,1.667,0.596,24.0,79.4,1.075,30.0,ascent,labview_demo_csv
