machine_code,time,sim_elapsed_s,profile,scenario,phase,vibration_mm_s,motor_power,temperature,humidity,current,charge,state,source
ARO-01,2026-05-28T22:37:57.367Z,162,A_linear,healthy,pause,0.884,0.000,23.0,80.0,0.000,60.0,pause,labview_bridge
ARO-01,2026-05-28T22:37:58.367Z,163,A_linear,healthy,pause,0.853,0.006,23.0,79.8,0.010,60.0,pause,labview_bridge
ARO-01,2026-05-28T22:37:59.371Z,164,A_linear,healthy,pause,0.870,0.003,22.9,79.7,0.005,60.0,pause,labview_bridge
ARO-01,2026-05-28T22:38:00.372Z,165,A_linear,healthy,pause,0.858,0.014,23.0,79.4,0.025,60.0,pause,labview_bridge
ARO-01,2026-05-28T22:38:01.372Z,166,A_linear,healthy,pause,0.876,0.000,23.0,79.2,0.000,60.0,pause,labview_bridge
ARO-01,2026-05-28T22:38:02.373Z,167,A_linear,healthy,pause,0.850,0.008,23.1,79.4,0.015,60.0,pause,labview_bridge
ARO-01,2026-05-28T22:38:03.378Z,168,A_linear,healthy,pause,0.883,0.002,23.1,79.5,0.004,60.0,pause,labview_bridge
ARO-01,2026-05-28T22:38:04.379Z,169,A_linear,healthy,pause,0.864,0.011,23.0,79.5,0.021,60.0,pause,labview_bridge
ARO-01,2026-05-28T22:38:05.380Z,170,A_linear,healthy,pause,0.902,0.003,23.0,79.5,0.006,60.0,pause,labview_bridge
ARO-01,2026-05-28T22:38:06.380Z,171,A_linear,healthy,pause,0.885,0.000,22.9,79.6,0.000,60.0,pause,labview_bridge
ARO-01,2026-05-28T22:38:07.387Z,172,A_linear,healthy,pause,0.913,0.000,23.0,79.9,0.000,60.0,pause,labview_bridge
ARO-01,2026-05-28T22:38:08.388Z,173,A_linear,healthy,pause,0.904,0.002,22.9,79.8,0.004,60.0,pause,labview_bridge
ARO-01,2026-05-28T22:38:09.388Z,174,A_linear,healthy,pause,0.940,0.000,22.9,79.8,0.000,60.0,pause,labview_bridge
ARO-01,2026-05-28T22:38:10.388Z,175,A_linear,healthy,pause,0.925,0.000,22.9,80.0,0.000,60.0,pause,labview_bridge
ARO-01,2026-05-28T22:38:11.389Z,176,A_linear,healthy,ascent,0.949,0.627,23.1,79.8,1.131,75.0,ascent,labview_bridge
ARO-01,2026-05-28T22:38:12.390Z,177,A_linear,healthy,ascent,0.961,0.630,23.2,79.7,1.136,75.0,ascent,labview_bridge
ARO-01,2026-05-28T22:38:13.390Z,178,A_linear,healthy,ascent,0.973,0.625,23.1,80.0,1.128,75.0,ascent,labview_bridge
ARO-01,2026-05-28T22:38:14.391Z,179,A_linear,healthy,ascent,0.944,0.629,23.2,80.0,1.135,75.0,ascent,labview_bridge
ARO-01,2026-05-28T22:38:15.395Z,180,A_linear,healthy,ascent,0.957,0.625,23.1,80.0,1.128,75.0,ascent,labview_bridge
ARO-01,2026-05-28T22:38:16.396Z,181,A_linear,healthy,ascent,1.001,0.628,23.2,79.8,1.132,75.0,ascent,labview_bridge
ARO-01,2026-05-28T22:38:17.396Z,182,A_linear,healthy,ascent,0.978,0.627,23.2,79.9,1.131,75.0,ascent,labview_bridge
ARO-01,2026-05-28T22:38:18.404Z,183,A_linear,healthy,ascent,0.971,0.622,23.3,79.8,1.123,75.0,ascent,labview_bridge
ARO-01,2026-05-28T22:38:19.405Z,184,A_linear,healthy,ascent,0.979,0.627,23.4,79.6,1.131,75.0,ascent,labview_bridge
ARO-01,2026-05-28T22:38:20.405Z,185,A_linear,healthy,ascent,0.979,0.626,23.4,79.6,1.129,75.0,ascent,labview_bridge
ARO-01,2026-05-28T22:38:21.406Z,186,A_linear,healthy,ascent,0.974,0.624,23.5,79.4,1.125,75.0,ascent,labview_bridge
ARO-01,2026-05-28T22:38:22.406Z,187,A_linear,healthy,ascent,0.961,0.627,23.5,79.5,1.131,75.0,ascent,labview_bridge
ARO-01,2026-05-28T22:38:23.406Z,188,A_linear,healthy,descent,0.958,0.344,23.4,79.5,0.622,75.0,descent,labview_bridge
ARO-01,2026-05-28T22:38:24.407Z,189,A_linear,healthy,descent,0.964,0.349,23.4,79.6,0.629,75.0,descent,labview_bridge
ARO-01,2026-05-28T22:38:25.408Z,190,A_linear,healthy,descent,0.938,0.354,23.4,79.4,0.638,75.0,descent,labview_bridge
ARO-01,2026-05-28T22:38:26.408Z,191,A_linear,healthy,descent,0.950,0.358,23.4,79.2,0.646,75.0,descent,labview_bridge
ARO-01,2026-05-28T22:38:27.409Z,192,A_linear,healthy,descent,0.940,0.345,23.3,79.1,0.622,75.0,descent,labview_bridge
